"","Depart","Arrivee","HeureDepart","HeureArrivee","ALheure","Retard","EnsembleMessage","date"
"182","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","18h50","20h26","Non",0,"Application d’une procédure de dépannage en gare de Val de 20h26 + 8 min","16 mai 2024 Ré"
"183","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","19h11","20h47","A l'heure",0,"","16 mai 2024 Ré"
"184","PARIS-ST-LAZARE","LE HAVRE","19h40","21h55","A l'heure",0,"","16 mai 2024 Ré"
"185","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","20h12","21h49","A l'heure",0,"","16 mai 2024 Ré"
"186","PARIS-ST-LAZARE","LE HAVRE","20h40","22h55","Non",0,"Conséquence d'un individu traversant les voies devant les 22h55 + 22 min","16 mai 2024 Ré"
"187","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","21h12","22h44","A l'heure",0,"","16 mai 2024 Ré"
"188","SERQUIGNY","PARIS-ST-LAZARE","05h11","06h28","Non",12,"","16 mai 2024 Ré"
"189","CAEN","PARIS-ST-LAZARE","04h59","07h15","A l'heure",0,"","16 mai 2024 Ré"
"190","SERQUIGNY","PARIS-ST-LAZARE","05h27","07h28","A l'heure",0,"","16 mai 2024 Ré"
"191","CAEN","PARIS-ST-LAZARE","06h09","08h19","Non",10,"","16 mai 2024 Ré"
"192","SERQUIGNY","PARIS-ST-LAZARE","06h57","08h50","Supprimé",0,"","16 mai 2024 Ré"
"193","CHERBOURG","PARIS-ST-LAZARE","05h49","08h58","Non",0,"Arrêts supplémentaires suite à la suppression du train 08h58 + 7 min","16 mai 2024 Ré"
"194","TROUVILLE-DEAUVILLE","PARIS-ST-LAZARE","07h25","09h38","Non",73,"","16 mai 2024 Ré"
"195","CHERBOURG","PARIS-ST-LAZARE","06h46","09h57","Non",20,"","16 mai 2024 Ré"
"196","CAEN","PARIS-ST-LAZARE","08h25","10h32","A l'heure",0,"","16 mai 2024 Ré"
"197","CAEN","PARIS-ST-LAZARE","09h06","11h04","A l'heure",0,"","16 mai 2024 Ré"
"198","CHERBOURG","PARIS-ST-LAZARE","08h54","12h02","Non",26,"","16 mai 2024 Ré"
"199","TROUVILLE-DEAUVILLE","PARIS-ST-LAZARE","10h22","12h32","Non",38,"","16 mai 2024 Ré"
"200","CHERBOURG","PARIS-ST-LAZARE","10h48","14h02","A l'heure",0,"","16 mai 2024 Ré"
"201","CHERBOURG","PARIS-ST-LAZARE","12h48","15h56","A l'heure",0,"","16 mai 2024 Ré"
"202","CAEN","PARIS-ST-LAZARE","14h25","16h31","A l'heure",0,"","16 mai 2024 Ré"
"203","CAEN","PARIS-ST-LAZARE","16h57","19h01","A l'heure",0,"","16 mai 2024 Ré"
"204","TROUVILLE-DEAUVILLE","PARIS-ST-LAZARE","17h22","19h30","A l'heure",0,"","16 mai 2024 Ré"
"205","CHERBOURG","PARIS-ST-LAZARE","16h47","19h56","A l'heure",0,"","16 mai 2024 Ré"
"206","CHERBOURG","PARIS-ST-LAZARE","17h39","21h03","A l'heure",0,"","16 mai 2024 Ré"
"207","CHERBOURG","PARIS-ST-LAZARE","19h17","22h51","A l'heure",0,"","16 mai 2024 Ré"
"208","PARIS-ST-LAZARE","CHERBOURG","06h12","09h36","A l'heure",0,"","16 mai 2024 Ré"
"209","PARIS-ST-LAZARE",NA,"07h09","08h24","Non",18,"","16 mai 2024 Ré"
"210","PARIS-ST-LAZARE","TROUVILLE-DEAUVILLE","07h27","09h40","A l'heure",0,"","16 mai 2024 Ré"
"211","PARIS-ST-LAZARE","CAEN","08h29","10h36","Non",36,"","16 mai 2024 Ré"
"212","PARIS-ST-LAZARE",NA,"09h10","10h24","Non",16,"","16 mai 2024 Ré"
"213","PARIS-ST-LAZARE","CAEN","09h59","12h03","Non",23,"","16 mai 2024 Ré"
"214","PARIS-ST-LAZARE","CHERBOURG","10h59","14h06","Non",23,"","16 mai 2024 Ré"
"215","PARIS-ST-LAZARE",NA,"11h09","12h24","Non",18,"","16 mai 2024 Ré"
